"","TAXON","ORDER","FAMILY","HYP","LOP","FCT_HOD","FCT_AL","FCT_OL","FCT_SF","FCT_OT","FCT_CM","last_checked","last_update","FaName"
"493","Semnopithecus entellus","Primates","Cercopithecidae",1,0,1,0,0,0,0,0,"Berlin2016June",NA,"Semnopithecus_entellus"
"494","Semnopithecus hector","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Semnopithecus_hector"
"495","Semnopithecus hypoleucos","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Semnopithecus_hypoleucos"
"496","Semnopithecus priam","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Semnopithecus_priam"
"497","Semnopithecus schistaceus","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Semnopithecus_schistaceus"
"498","Simias concolor","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,NA,NA,"Simias_concolor"
"499","Theropithecus gelada","Primates","Cercopithecidae",1,0,1,0,1,1,0,0,"Berlin2016June","Berlin2016June","Theropithecus_gelada"
"500","Trachypithecus auratus","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,NA,NA,"Trachypithecus_auratus"
"501","Trachypithecus barbei","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Trachypithecus_barbei"
"502","Trachypithecus cristatus","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,"Berlin2016June",NA,"Trachypithecus_cristatus"
"503","Trachypithecus delacouri","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Trachypithecus_delacouri"
"504","Trachypithecus ebenus","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Trachypithecus_ebenus"
"505","Trachypithecus francoisi","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,NA,NA,"Trachypithecus_francoisi"
"506","Trachypithecus geei","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,NA,NA,"Trachypithecus_geei"
"507","Trachypithecus germaini","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Trachypithecus_germaini"
"508","Trachypithecus hatinhensis","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Trachypithecus_hatinhensis"
"509","Trachypithecus johnii","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,"Berlin2016June",NA,"Trachypithecus_johnii"
"510","Trachypithecus laotum","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Trachypithecus_laotum"
"511","Trachypithecus obscurus","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,"Berlin2016June",NA,"Trachypithecus_obscurus"
"512","Trachypithecus phayrei","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,"Berlin2016June",NA,"Trachypithecus_phayrei"
"513","Trachypithecus pileatus","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,NA,NA,"Trachypithecus_pileatus"
"514","Trachypithecus poliocephalus","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Trachypithecus_poliocephalus"
"515","Trachypithecus shortridgei","Primates","Cercopithecidae",1,NA,1,0,0,0,0,0,NA,NA,"Trachypithecus_shortridgei"
"516","Trachypithecus vetulus","Primates","Cercopithecidae",1,0,1,1,0,0,0,0,"Berlin2016June",NA,"Trachypithecus_vetulus"
"517","Allocebus trichotis","Primates","Cheirogaleidae",1,0,1,0,0,0,0,0,NA,NA,"Allocebus_trichotis"
"518","Cheirogaleus adipicaudatus","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Cheirogaleus_adipicaudatus"
"519","Cheirogaleus crossleyi","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Cheirogaleus_crossleyi"
"520","Cheirogaleus major","Primates","Cheirogaleidae",1,0,1,0,0,0,0,0,NA,NA,"Cheirogaleus_major"
"521","Cheirogaleus medius","Primates","Cheirogaleidae",1,0,1,0,0,0,0,0,NA,NA,"Cheirogaleus_medius"
"522","Cheirogaleus minusculus","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Cheirogaleus_minusculus"
"523","Cheirogaleus ravus","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Cheirogaleus_ravus"
"524","Cheirogaleus sibreei","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Cheirogaleus_sibreei"
"525","Microcebus berthae","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Microcebus_berthae"
"526","Microcebus griseorufus","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Microcebus_griseorufus"
"527","Microcebus murinus","Primates","Cheirogaleidae",1,0,1,0,0,0,0,0,NA,NA,"Microcebus_murinus"
"528","Microcebus myoxinus","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Microcebus_myoxinus"
"529","Microcebus ravelobensis","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Microcebus_ravelobensis"
"530","Microcebus rufus","Primates","Cheirogaleidae",1,0,1,0,0,0,0,0,NA,NA,"Microcebus_rufus"
"531","Microcebus sambiranensis","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Microcebus_sambiranensis"
"532","Microcebus tavaratra","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Microcebus_tavaratra"
"533","Mirza coquereli","Primates","Cheirogaleidae",1,0,1,0,0,0,0,0,NA,NA,"Mirza_coquereli"
"534","Phaner electromontis","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Phaner_electromontis"
"535","Phaner furcifer","Primates","Cheirogaleidae",1,0,1,0,0,0,0,0,NA,NA,"Phaner_furcifer"
"536","Phaner pallescens","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Phaner_pallescens"
"537","Phaner parienti","Primates","Cheirogaleidae",1,NA,1,0,0,0,0,0,NA,NA,"Phaner_parienti"
"538","Daubentonia madagascariensis","Primates","Daubentoniidae",1,0,1,0,0,0,0,0,NA,NA,"Daubentonia_madagascariensis"
"539","Galago gallarum","Primates","Galagidae",1,0,1,0,0,0,0,0,"Berlin2016June",NA,"Galago_gallarum"
"540","Galago senegalensis","Primates","Galagidae",1,0,1,0,0,0,0,0,"Berlin2016June",NA,"Galago_senegalensis"
"541","Galago zanzibaricus","Primates","Galagidae",1,0,1,0,0,0,0,0,"Berlin2016June",NA,"Galago_zanzibaricus"
"542","Otolemur crassicaudatus","Primates","Galagidae",1,0,1,0,0,0,0,0,NA,NA,"Otolemur_crassicaudatus"
"543","Otolemur garnettii","Primates","Galagidae",1,0,1,0,0,0,0,0,NA,NA,"Otolemur_garnettii"
"544","Euoticus elegantulus","Primates","Galagonidae",1,0,1,0,0,0,0,0,NA,NA,"Euoticus_elegantulus"
"545","Euoticus pallidus","Primates","Galagonidae",1,0,1,0,0,0,0,0,NA,NA,"Euoticus_pallidus"
"546","Galago alleni","Primates","Galagonidae",1,0,1,0,0,0,0,0,"Berlin2016June",NA,"Galago_alleni"
"547","Galago cameronensis","Primates","Galagonidae",1,NA,1,0,0,0,0,0,NA,NA,"Galago_cameronensis"
"548","Galago demidoff","Primates","Galagonidae",1,0,1,0,0,0,0,0,"Berlin2016June",NA,"Galago_demidoff"
"549","Galago gabonensis","Primates","Galagonidae",1,NA,1,0,0,0,0,0,NA,NA,"Galago_gabonensis"
"550","Galago granti","Primates","Galagonidae",1,NA,1,0,0,0,0,0,NA,NA,"Galago_granti"
"551","Galago matschiei","Primates","Galagonidae",1,0,1,0,0,0,0,0,NA,NA,"Galago_matschiei"
"552","Galago moholi","Primates","Galagonidae",1,0,1,0,0,0,0,0,NA,NA,"Galago_moholi"
"553","Galago nyasae","Primates","Galagonidae",1,NA,1,0,0,0,0,0,NA,NA,"Galago_nyasae"
"554","Galago orinus","Primates","Galagonidae",1,NA,1,0,0,0,0,0,NA,NA,"Galago_orinus"
"555","Galago rondoensis","Primates","Galagonidae",1,NA,1,0,0,0,0,0,NA,NA,"Galago_rondoensis"
"556","Galago thomasi","Primates","Galagonidae",1,NA,1,0,0,0,0,0,NA,NA,"Galago_thomasi"
"557","Otolemur monteiri","Primates","Galagonidae",1,NA,1,0,0,0,0,0,NA,NA,"Otolemur_monteiri"
"558","Gorilla beringei","Primates","Hominidae",1,NA,1,0,0,0,0,0,NA,NA,"Gorilla_beringei"
"559","Gorilla gorilla","Primates","Hominidae",1,0,1,0,0,0,0,0,NA,NA,"Gorilla_gorilla"
"560","Homo sapiens","Primates","Hominidae",1,0,1,0,0,0,0,0,NA,NA,"Homo_sapiens"
"561","Pan paniscus","Primates","Hominidae",1,0,1,0,0,0,0,0,NA,NA,"Pan_paniscus"
"562","Pan troglodytes","Primates","Hominidae",1,0,1,0,0,0,0,0,NA,NA,"Pan_troglodytes"
"563","Pongo abelii","Primates","Hominidae",1,NA,1,0,0,0,0,0,NA,NA,"Pongo_abelii"
"564","Pongo pygmaeus","Primates","Hominidae",1,0,1,0,0,0,0,0,NA,NA,"Pongo_pygmaeus"
"565","Bunopithecus hoolock","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Bunopithecus_hoolock"
"566","Hylobates agilis","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Hylobates_agilis"
"567","Hylobates albibarbis","Primates","Hylobatidae",1,NA,1,0,0,0,0,0,NA,NA,"Hylobates_albibarbis"
"568","Hylobates concolor","Primates","Hylobatidae",1,NA,1,0,0,0,0,0,NA,NA,"Hylobates_concolor"
"569","Hylobates gabriellae","Primates","Hylobatidae",1,NA,1,0,0,0,0,0,NA,NA,"Hylobates_gabriellae"
"570","Hylobates klossii","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Hylobates_klossii"
"571","Hylobates lar","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Hylobates_lar"
"572","Hylobates leucogenys","Primates","Hylobatidae",1,NA,1,0,0,0,0,0,NA,NA,"Hylobates_leucogenys"
"573","Hylobates moloch","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Hylobates_moloch"
"574","Hylobates muelleri","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Hylobates_muelleri"
"575","Hylobates pileatus","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Hylobates_pileatus"
"576","Nomascus concolor","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Nomascus_concolor"
"577","Nomascus gabriellae","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Nomascus_gabriellae"
"578","Nomascus hainanus","Primates","Hylobatidae",1,NA,1,0,0,0,0,0,NA,NA,"Nomascus_hainanus"
"579","Nomascus leucogenys","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Nomascus_leucogenys"
"580","Nomascus siki","Primates","Hylobatidae",1,NA,1,0,0,0,0,0,NA,NA,"Nomascus_siki"
"581","Symphalangus syndactylus","Primates","Hylobatidae",1,0,1,0,0,0,0,0,NA,NA,"Symphalangus_syndactylus"
"582","Avahi laniger","Primates","Indridae",1,1,1,0,0,0,0,0,"Berlin2016June","Berlin2016June","Avahi_laniger"
"583","Avahi occidentalis","Primates","Indridae",1,NA,1,0,0,0,0,0,NA,"Espoo2016July","Avahi_occidentalis"
"584","Avahi unicolor","Primates","Indridae",1,NA,1,0,0,0,0,0,NA,"Espoo2016July","Avahi_unicolor"
"585","Indri indri","Primates","Indridae",1,1,1,0,0,0,0,0,"Berlin2016June","Berlin2016June","Indri_indri"
"586","Propithecus coquereli","Primates","Indridae",1,NA,1,1,0,0,0,0,NA,NA,"Propithecus_coquereli"
"587","Propithecus deckenii","Primates","Indridae",1,NA,1,1,0,0,0,0,NA,NA,"Propithecus_deckenii"
"588","Propithecus diadema","Primates","Indridae",1,1,1,1,0,0,0,0,NA,NA,"Propithecus_diadema"
"589","Propithecus edwardsi","Primates","Indridae",1,NA,1,1,0,0,0,0,NA,NA,"Propithecus_edwardsi"
"590","Propithecus perrieri","Primates","Indridae",1,NA,1,1,0,0,0,0,NA,NA,"Propithecus_perrieri"
"591","Propithecus tattersalli","Primates","Indridae",1,1,1,1,0,0,0,0,NA,NA,"Propithecus_tattersalli"
"592","Propithecus verreauxi","Primates","Indridae",1,1,1,1,0,0,0,0,NA,NA,"Propithecus_verreauxi"
"593","Eulemur albifrons","Primates","Lemuridae",1,NA,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Eulemur_albifrons"
"594","Eulemur albocollaris","Primates","Lemuridae",1,NA,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Eulemur_albocollaris"
"595","Eulemur cinereiceps","Primates","Lemuridae",1,NA,1,1,1,0,0,0,NA,"Espoo2016July","Eulemur_cinereiceps"
"596","Eulemur collaris","Primates","Lemuridae",1,NA,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Eulemur_collaris"
"597","Eulemur coronatus","Primates","Lemuridae",1,0,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Eulemur_coronatus"
"598","Eulemur fulvus","Primates","Lemuridae",1,0,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Eulemur_fulvus"
"599","Eulemur macaco","Primates","Lemuridae",1,0,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Eulemur_macaco"
"600","Eulemur mongoz","Primates","Lemuridae",1,0,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Eulemur_mongoz"
"601","Eulemur rubriventer","Primates","Lemuridae",1,0,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Eulemur_rubriventer"
"602","Eulemur rufus","Primates","Lemuridae",1,NA,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Eulemur_rufus"
"603","Eulemur sanfordi","Primates","Lemuridae",1,NA,1,1,1,0,0,0,NA,"Espoo2016July","Eulemur_sanfordi"
"604","Hapalemur alaotrensis","Primates","Lemuridae",1,NA,1,1,1,0,0,0,NA,"Espoo2016July","Hapalemur_alaotrensis"
"605","Hapalemur aureus","Primates","Lemuridae",1,0,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Hapalemur_aureus"
"606","Hapalemur griseus","Primates","Lemuridae",1,0,1,1,0,0,0,0,"Berlin2016June","Berlin2016June","Hapalemur_griseus"
"607","Hapalemur occidentalis","Primates","Lemuridae",1,NA,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Hapalemur_occidentalis"
"608","Lemur catta","Primates","Lemuridae",1,0,1,0,0,0,0,0,"Berlin2016June",NA,"Lemur_catta"
"609","Prolemur simus","Primates","Lemuridae",1,0,1,0,0,0,0,0,NA,NA,"Prolemur_simus"
"610","Varecia rubra","Primates","Lemuridae",1,NA,1,1,1,0,0,0,"Berlin2016June",NA,"Varecia_rubra"
"611","Varecia variegata","Primates","Lemuridae",1,1,1,1,1,0,0,0,"Berlin2016June",NA,"Varecia_variegata"
"612","Lepilemur ankaranensis","Primates","Lepilemuridae",1,NA,1,1,1,0,0,0,NA,"Espoo2016July","Lepilemur_ankaranensis"
"613","Arctocebus calabarensis","Primates","Loridae",1,0,1,0,0,0,0,0,NA,NA,"Arctocebus_calabarensis"
"614","Loris lydekkerianus","Primates","Loridae",1,NA,1,0,0,0,0,0,NA,NA,"Loris_lydekkerianus"
"615","Loris tardigradus","Primates","Loridae",1,0,1,0,0,0,0,0,NA,NA,"Loris_tardigradus"
"616","Nycticebus bengalensis","Primates","Loridae",1,NA,1,0,0,0,0,0,NA,NA,"Nycticebus_bengalensis"
"617","Nycticebus coucang","Primates","Loridae",1,0,1,0,0,0,0,0,"Berlin2016June",NA,"Nycticebus_coucang"
"618","Nycticebus pygmaeus","Primates","Loridae",1,0,1,0,0,0,0,0,"Berlin2016June",NA,"Nycticebus_pygmaeus"
"619","Arctocebus aureus","Primates","Lorisidae",1,0,1,0,0,0,0,0,NA,NA,"Arctocebus_aureus"
"620","Perodicticus potto","Primates","Lorisidae",1,0,1,0,0,0,0,0,NA,NA,"Perodicticus_potto"
"621","Lepilemur dorsalis","Primates","Megaladapidae",1,1,1,1,1,0,0,0,NA,"Espoo2016July","Lepilemur_dorsalis"
"622","Lepilemur edwardsi","Primates","Megaladapidae",1,1,1,1,1,0,0,0,NA,"Espoo2016July","Lepilemur_edwardsi"
"623","Lepilemur leucopus","Primates","Megaladapidae",1,1,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Lepilemur_leucopus"
"624","Lepilemur microdon","Primates","Megaladapidae",1,1,1,1,1,0,0,0,NA,"Espoo2016July","Lepilemur_microdon"
"625","Lepilemur mustelinus","Primates","Megaladapidae",1,1,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Lepilemur_mustelinus"
"626","Lepilemur ruficaudatus","Primates","Megaladapidae",1,1,1,1,1,0,0,0,"Berlin2016June","Berlin2016June","Lepilemur_ruficaudatus"
"627","Lepilemur septentrionalis","Primates","Megaladapidae",1,1,1,1,1,0,0,0,NA,"Espoo2016July","Lepilemur_septentrionalis"
"628","Callicebus bernhardi","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Callicebus_bernhardi"
"629","Callicebus caligatus","Primates","Pitheciidae",1,0,1,0,0,0,0,0,NA,NA,"Callicebus_caligatus"
"630","Callicebus discolor","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Callicebus_discolor"
"631","Callicebus dubius","Primates","Pitheciidae",1,0,1,0,0,0,0,0,NA,NA,"Callicebus_dubius"
"632","Callicebus lucifer","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Callicebus_lucifer"
"633","Callicebus lugens","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Callicebus_lugens"
"634","Callicebus pallescens","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Callicebus_pallescens"
"635","Callicebus purinus","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Callicebus_purinus"
"636","Callicebus regulus","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Callicebus_regulus"
"637","Callicebus stephennashi","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Callicebus_stephennashi"
"638","Chiropotes chiropotes","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Chiropotes_chiropotes"
"639","Chiropotes israelita","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Chiropotes_israelita"
"640","Chiropotes utahickae","Primates","Pitheciidae",1,NA,1,0,0,0,0,0,NA,NA,"Chiropotes_utahickae"
"641","Tarsius bancanus","Primates","Tarsiidae",1,0,1,0,0,0,0,0,NA,NA,"Tarsius_bancanus"
"642","Tarsius dentatus","Primates","Tarsiidae",1,0,1,0,0,0,0,0,NA,NA,"Tarsius_dentatus"
"643","Tarsius pelengensis","Primates","Tarsiidae",1,NA,1,0,0,0,0,0,NA,NA,"Tarsius_pelengensis"
"644","Tarsius pumilus","Primates","Tarsiidae",1,0,1,0,0,0,0,0,NA,NA,"Tarsius_pumilus"
"645","Tarsius sangirensis","Primates","Tarsiidae",1,NA,1,0,0,0,0,0,NA,NA,"Tarsius_sangirensis"
"646","Tarsius syrichta","Primates","Tarsiidae",1,0,1,0,0,0,0,0,NA,NA,"Tarsius_syrichta"
"647","Tarsius tarsier","Primates","Tarsiidae",1,0,1,0,0,0,0,0,NA,NA,"Tarsius_tarsier"
"648","Elephas maximus","Proboscidea","Elephantidae",3,0,3,0,1,0,1,1,NA,NA,"Elephas_maximus"
"649","Loxodonta africana","Proboscidea","Elephantidae",3,0,3,0,1,0,1,1,NA,NA,"Loxodonta_africana"
"650","Loxodonta cyclotis","Proboscidea","Elephantidae",3,NA,3,0,1,0,1,1,NA,NA,"Loxodonta_cyclotis"
